date,AB,BC,CV,HD,POW,SB,CTM
2014-12-24,207,264,170,148,45,149,134
2014-12-25,206,277,153,132,45,147,178
2014-12-26,198,301,157,142,44,123,163
2014-12-27,231,307,165,140,46,143,168
2014-12-28,207,299,127,134,45,123,159
2014-12-29,179,274,125,115,45,150,147
2014-12-30,240,281,125,131,62,145,141
2014-12-31,217,288,153,131,49,133,126
2015-01-01,221,343,203,172,44,153,207
2015-01-02,209,292,153,134,41,101,153
2015-01-03,189,297,119,133,60,137,137
2015-01-04,183,222,127,99,44,117,145
2015-01-05,193,251,149,135,59,132,147
2015-01-06,185,255,134,143,38,125,128
2015-01-07,201,274,132,144,37,98,161
2015-01-08,189,280,127,144,41,116,153
2015-01-09,187,277,136,137,45,136,141
2015-01-10,172,224,127,122,39,98,131
2015-01-11,184,277,132,134,40,120,144
2015-01-12,189,226,138,122,31,126,130
2015-01-13,162,216,127,127,37,115,158
2015-01-14,179,266,142,115,34,123,135
2015-01-15,201,269,120,118,37,93,151
2015-01-16,166,247,108,132,32,121,146
2015-01-17,177,244,126,112,40,116,146
2015-01-18,179,285,138,99,29,98,135
2015-01-19,190,235,146,124,49,114,140
2015-01-20,188,224,134,138,41,126,146
2015-01-21,177,236,146,140,39,121,135
2015-01-22,192,248,163,155,31,103,151
2015-01-23,184,253,162,98,32,125,131
2015-01-24,174,214,145,127,54,100,134
2015-01-25,157,252,147,131,51,130,151
2015-01-26,174,266,140,118,44,150,148
2015-01-27,211,253,123,128,35,132,144
2015-01-28,199,235,145,139,31,123,157
2015-01-29,187,280,168,126,35,126,163
2015-01-30,193,257,141,131,33,133,129
2015-01-31,190,285,148,132,39,111,155
2015-02-01,182,264,160,122,39,126,148
2015-02-02,204,247,138,120,54,142,145
2015-02-03,173,275,141,111,56,131,156
2015-02-04,196,268,132,165,39,130,126
2015-02-05,207,258,125,140,59,84,168
2015-02-06,168,257,129,128,38,104,145
2015-02-07,187,271,120,101,32,114,141
2015-02-08,192,262,146,153,38,106,131
2015-02-09,177,252,124,126,29,115,118
2015-02-10,167,254,148,134,39,132,153
2015-02-11,184,266,137,148,40,100,156
2015-02-12,154,299,141,155,43,133,147
2015-02-13,187,265,157,138,63,114,146
2015-02-14,177,248,115,124,34,99,130
2015-02-15,196,258,148,146,44,128,139
2015-02-16,177,259,140,148,46,117,146
2015-02-17,196,249,149,134,41,126,159
2015-02-18,181,248,147,133,39,123,141
2015-02-19,177,233,162,166,43,108,178
2015-02-20,196,288,121,150,33,112,120
2015-02-21,162,270,142,123,35,117,155
2015-02-22,181,257,147,122,35,101,112
2015-02-23,187,279,134,101,29,122,115
2015-02-24,198,274,138,126,39,114,134
2015-02-25,194,288,134,118,31,110,139
2015-02-26,185,269,141,153,40,114,136
2015-02-27,170,269,123,128,52,134,122
2015-02-28,198,244,124,96,40,122,130
2015-03-01,179,255,145,145,49,134,125
2015-03-02,195,229,145,109,40,136,157
2015-03-03,182,248,124,137,41,120,155
2015-03-04,184,242,153,134,38,117,152
2015-03-05,168,230,158,122,40,115,164
2015-03-06,200,227,132,117,34,121,144
2015-03-07,212,243,136,145,40,114,151
2015-03-08,181,264,127,134,40,117,129
2015-03-09,190,260,134,123,31,122,156
2015-03-10,188,224,107,131,48,123,128
2015-03-11,155,268,159,132,34,116,170
2015-03-12,163,273,135,138,46,131,137
2015-03-13,211,265,146,111,32,82,123
2015-03-14,166,252,146,128,39,128,135
2015-03-15,173,262,148,126,33,98,137
2015-03-16,163,207,137,121,39,125,139
2015-03-17,203,238,142,105,38,121,109
2015-03-18,181,251,132,138,61,92,167
2015-03-19,192,269,166,154,37,115,141
2015-03-20,183,273,129,138,49,119,144
2015-03-21,188,243,135,118,40,104,152
2015-03-22,211,260,171,122,41,122,115
2015-03-23,185,238,130,118,38,120,139
2015-03-24,189,262,145,124,44,110,158
2015-03-25,174,252,154,145,40,143,137
2015-03-26,167,280,113,144,34,132,141
2015-03-27,206,294,152,128,60,138,145
